"User","1: Toy Story (1995)","1210: Star Wars: Episode VI - Return of the Jedi (1983)","356: Forrest Gump (1994)","318: Shawshank Redemption, The (1994)","593: Silence of the Lambs, The (1991)","3578: Gladiator (2000)","260: Star Wars: Episode IV - A New Hope (1977)","2028: Saving Private Ryan (1998)","296: Pulp Fiction (1994)","1259: Stand by Me (1986)","2396: Shakespeare in Love (1998)","2916: Total Recall (1990)","780: Independence Day (ID4) (1996)","541: Blade Runner (1982)","1265: Groundhog Day (1993)","2571: Matrix, The (1999)","527: Schindler's List (1993)","2762: Sixth Sense, The (1999)","1198: Raiders of the Lost Ark (1981)","34: Babe (1995)","Mean"
"755.0","2.0","5.0","2.0","","4.0","4.0","1.0","2.0","","3.0","2.0","","5.0","2.0","5.0","4.0","2.0","5.0","","","3.2"
"5277.0","1.0","","","2.0","4.0","2.0","5.0","","","4.0","3.0","2.0","2.0","","2.0","","5.0","1.0","3.0","","2.769230769230769"
"1577.0","","","","5.0","2.0","","","","","1.0","","1.0","4.0","4.0","1.0","1.0","2.0","3.0","1.0","3.0","2.3333333333333335"
"4388.0","2.0","3.0","","","","1.0","","3.0","4.0","","","4.0","","3.0","5.0","","5.0","1.0","1.0","2.0","2.8333333333333335"
"1202.0","","3.0","4.0","1.0","4.0","1.0","4.0","4.0","","1.0","5.0","1.0","","4.0","","3.0","5.0","5.0","","","3.2142857142857144"
"3823.0","3.0","4.0","4.0","4.0","","","2.0","1.0","4.0","4.0","5.0","2.0","4.0","","1.0","","","3.0","","2.0","3.0714285714285716"
"5448.0","","","3.0","1.0","1.0","4.0","4.0","5.0","2.0","","1.0","","","3.0","","1.0","","","5.0","2.0","2.6666666666666665"
"5347.0","2.0","","","","3.0","2.0","4.0","","3.0","","","2.0","1.0","2.0","4.0","","1.0","3.0","5.0","","2.6666666666666665"
"4117.0","4.0","1.0","","4.0","2.0","4.0","5.0","4.0","","1.0","2.0","","1.0","","5.0","","","","","5.0","3.1666666666666665"
"2765.0","4.0","2.0","","5.0","3.0","","4.0","3.0","4.0","","","","2.0","","","2.0","5.0","1.0","","","3.1818181818181817"
"5450.0","5.0","1.0","5.0","","","5.0","2.0","","","","","3.0","2.0","","","1.0","","2.0","1.0","4.0","2.8181818181818183"
"139.0","2.0","5.0","2.0","","","","3.0","","1.0","","3.0","","3.0","","2.0","5.0","","","","2.0","2.8"
"1940.0","4.0","","","5.0","4.0","","2.0","5.0","","","","2.0","4.0","","3.0","","","","5.0","","3.7777777777777777"
"3118.0","3.0","","3.0","","2.0","","3.0","","","4.0","","1.0","2.0","2.0","3.0","5.0","1.0","","","","2.6363636363636362"
"4656.0","2.0","4.0","","","5.0","5.0","4.0","","3.0","5.0","","1.0","3.0","","2.0","","3.0","","3.0","1.0","3.1538461538461537"
"4796.0","","","1.0","","3.0","2.0","","2.0","","1.0","5.0","","2.0","","","2.0","2.0","4.0","3.0","4.0","2.5833333333333335"
"6037.0","2.0","","","","","","","","2.0","","2.0","","3.0","","3.0","4.0","","","","","2.6666666666666665"
"3048.0","4.0","5.0","1.0","5.0","1.0","1.0","4.0","","5.0","","","","","4.0","","","2.0","1.0","2.0","5.0","3.076923076923077"
"4790.0","2.0","1.0","3.0","","","4.0","5.0","1.0","3.0","3.0","3.0","1.0","","","","2.0","","","","","2.5454545454545454"
"4489.0","2.0","2.0","2.0","4.0","5.0","","1.0","3.0","2.0","2.0","1.0","","4.0","5.0","5.0","4.0","3.0","5.0","3.0","","3.1176470588235294"
"L2","11.832159566199232","11.661903789690601","9.899494936611665","12.409673645990857","12.449899597988733","11.357816691600547","14.247806848775006","10.908712114635714","10.63014581273465","9.9498743710662","10.770329614269007","6.782329983125268","11.74734012447073","10.14889156509222","12.529964086141668","11.045361017187261","11.661903789690601","11.224972160321824","10.862780491200215","10.392304845413264",""
